La Cayenne est un modèle de quelle marque automobile allemande ?;Mercedes;Porsche;Volkswagen;Audi;2
La publicité de quelle marque de chocolat a été inspirée par la couleur mauve ?;Milka;Kwatta;Smarties;Treets;1
Quelle marque de café avait pour emblème un serveur noir avec un turban ?;Négresco;Ricoré;Melita;Barista;1
« Secouez-moi, secouez-moi » a longtemps été le slogan de quelle grande marque ?;Orangina;Pepsi;Coca-Cola;Schweppes;1
De quelle poudre chocolatée pourriez-vous avoir « une énorme envie » ?;Ovomaltine;Milka;Banania;Nesquik;4
Qui est la sœur aînée des héroïnes de la série télévisée américaine Charmed ?;Paige;Piper;Buffy;Prue;4
Quel gouverneur hollandais a donné son nom à des cigarettes blondes ?;Pieter Codde;Pieter de Graeff;Pieter Stuyvesant;Pieter De Grebber;3
Quel médecin Georges Clooney incarne-t-il dans la série télévisée Urgences ?;Prison Break;Mark Green;Douglas Ross;Dylan Creed;3
Quelle marque de surf a été inspirée, pour son logo, par une estampe japonaise ?;Quiksilver;Oxbow;Rip Curl;Rusty;1
Lequel de ces personnages ne fait pas partie de la bande de copains de Friends ?;Ross;Chandler;Joey;Matt;4
Qui interprète le rôle de Ling dans la série télévisée américaine Ally McBeal ?;Sarah Jessica Parker;Linda Fiorentino;Lucy Liu;Calista Flockhart;3
Quel bouquet satellite vous propose « le meilleur du numérique » ?;SFR;TPS;Canalsat;Bouygues;3
Combien de saisons compte la série télévisée Lost, les disparus créée par J.J. Abrams ?;Six;Huit;Quatre;Deux;1
Dans laquelle de ces séries télévisées trouve-t-on un super-héros ?;Stargate;Le Caméléon;Profiler;Smallville;4
Quelle enseigne vous invite à rester « tous unis contre la vie chère » ?;Super U;Cora;Intermarché;Carrefour;3
Quel acteur a réalisé certaines publicités de la marque Orangina ?;Thierry Lhermitte;Michel Blanc;Gérard Jugnot;Alain Chabat;4
Quel animal est représenté sur les vêtements de la marque Lacoste ?;Un crocodile;Un ours;Un taureau;Un chameau;1
Quel emblème est utilisé dans toutes les stations de la marque Shell ?;Un lion rouge;Un coquillage jaune;Un trèfle vert;Un soleil bleu;2
La première image du générique de la série MacGyver présente une main avec quel objet ?;Un passeport;Un briquet;Un couteau suisse;Un gant de cuir;1
Quelle chaîne de magasins française est un « agitateur de curiosité » ?;Virgin;Fnac;HMV;Sony;2
Quelle entreprise française vous propose son « contrat de confiance » ?;Virgin;Orange;Free;Darty;4
Une marque de whisky écossais extrêmement populaire se nomme Johnnie...;Walker;Parker;Bunker;Monster;1
